short_window,long_window,return
5,15,0.12944277721610786
9,10,0.12372015721660667
6,10,0.11750912507399369
6,15,0.0975182613726352
11,15,0.09652161084123068
7,10,0.08698026452188534
8,10,0.08504804276016298
8,15,0.0799496634239828
7,15,0.07883813234456027
10,15,0.07068431645489726
5,10,0.0701858617843949
9,15,0.0668979977630596
14,15,0.06456761659606569
12,15,0.05975611684307569
5,25,0.05288387237090575
13,15,0.035233677113934436
17,20,0.0313675294296214
7,25,0.030610257557043496
7,20,0.029733038129196254
5,30,0.02696218133658168
8,30,0.02576739112006088
5,20,0.025349168804387423
5,35,0.025092274950549776
7,30,0.019112945125775438
9,20,0.018849440465264378
8,35,0.016518327519610354
10,20,0.014278006737221682
14,20,0.013200766882174975
17,25,0.012480825361151915
16,25,0.012454999897778318
8,25,0.010492077819029832
11,20,0.007713526008833238
13,20,0.006699113971963433
7,35,0.005747954669256705
6,30,0.005343591178751161
5,55,0.003332088433904201
6,35,0.0032719778060597005
12,20,0.0020477763636743695
16,20,0.0017767533540424818
6,25,0.0008498639041225609
19,20,-0.0005874016091416134
6,20,-0.0012680188500298062
16,55,-0.006260069950701719
15,20,-0.00752300014038787
8,20,-0.008699506732257056
13,30,-0.009716056105574467
15,55,-0.009946700625279026
17,55,-0.011206173204379666
9,30,-0.011244647893094761
5,45,-0.01312500072238909
18,20,-0.013433082752114522
6,40,-0.01580051274298455
19,55,-0.01604563696704575
5,50,-0.01691967991999699
9,25,-0.01819482999421851
6,55,-0.01980779743179173
15,25,-0.020173093857194013
18,55,-0.02060611278086444
16,30,-0.02127484471586727
20,25,-0.02136251840480985
14,30,-0.021636876179122355
6,50,-0.02529660071654105
15,30,-0.02637102405353331
20,55,-0.02762889075968633
10,25,-0.02813740260207198
9,35,-0.02907375781043231
7,40,-0.030014547217183773
10,30,-0.03076992469346873
12,30,-0.031157565618513905
19,25,-0.03121675607522434
12,25,-0.03477932286843344
14,25,-0.03567442271707222
6,45,-0.03651925677929291
17,30,-0.03732052212856751
5,40,-0.03897638249220403
11,25,-0.039105646982192654
8,40,-0.04226672395978737
18,25,-0.042407581987189635
13,25,-0.044587775693345044
20,30,-0.045612994086834835
16,50,-0.046009919919636766
13,55,-0.04677842250255704
7,45,-0.05084216643895534
8,45,-0.05106211228093449
17,50,-0.052511789081192695
12,45,-0.05302661232809802
11,45,-0.055433198611771095
18,30,-0.05687135616786554
12,35,-0.05727122039883814
18,45,-0.058629187619078094
14,55,-0.05937354204011436
11,30,-0.06000077441885465
15,35,-0.06020116339581083
15,50,-0.0605782443965891
11,35,-0.06163081076373178
16,45,-0.06225055127334911
7,50,-0.06341699863537975
16,35,-0.06359979261760329
10,35,-0.06383299063019754
11,55,-0.06648851798159605
7,55,-0.06667189435544862
15,45,-0.06681569881437177
9,40,-0.06698943852659012
20,40,-0.06932877163945506
13,50,-0.07014461673820283
10,45,-0.07035963380174537
14,35,-0.07060261478870422
14,50,-0.07104902522208578
8,55,-0.07160861459445467
10,40,-0.07176113708893928
11,50,-0.07210980040105441
8,50,-0.07217110457522502
12,55,-0.07310536135228107
17,45,-0.07527381633493468
17,40,-0.07700292124453911
13,40,-0.0770361780706681
10,50,-0.07722230651213835
19,50,-0.07745151416248819
13,35,-0.07824014136899882
18,40,-0.07948649579135902
9,45,-0.07956267328647071
20,50,-0.08228758130293767
18,50,-0.08249678439962749
14,40,-0.08320690395984487
19,40,-0.08324055260788343
17,35,-0.08334980752321197
13,45,-0.08386047038900646
12,50,-0.08452504008314465
19,30,-0.08459681063494573
19,45,-0.0908877907720751
14,45,-0.09238519054095007
18,35,-0.09330594776679724
20,35,-0.09652265092431334
9,55,-0.09678659756943964
19,35,-0.09721245729206784
15,40,-0.09742405475604698
9,50,-0.0986914300158358
11,40,-0.1005427623693822
16,40,-0.10277033309560735
10,55,-0.10326485299729649
20,45,-0.1057732058892571
12,40,-0.11128417077652197
