timestamp,action,price,sma_short,sma_long,position,position_size,equity,return,strategy
2025-07-06 16:00:00,entry,108856.93,108739.44,108259.08,1,1.0,0.0,-0.0,SMA_5_15
2025-07-07 09:00:00,reverse,108849.05,108955.26,109023.06,-1,1.0,-0.0,-0.001492,SMA_5_15
2025-07-08 06:00:00,reverse,108299.71,108039.52,108035.99,1,1.0,0.005,-0.00082,SMA_5_15
2025-07-09 03:00:00,reverse,108376.41,108726.41,108739.88,-1,1.0,0.0058,-0.002165,SMA_5_15
2025-07-09 09:00:00,reverse,108763.37,108750.0,108743.0,1,1.0,0.0022,-0.001005,SMA_5_15
2025-07-10 11:00:00,reverse,111019.99,111122.64,111128.38,-1,1.0,0.023,-0.000617,SMA_5_15
2025-07-10 16:00:00,reverse,112643.47,111388.71,111220.98,1,1.0,0.0084,-0.011086,SMA_5_15
2025-07-11 17:00:00,reverse,117640.0,117556.34,117648.04,-1,1.0,0.0524,0.002101,SMA_5_15
2025-07-12 04:00:00,reverse,117646.43,117614.72,117605.99,1,1.0,0.0523,0.001087,SMA_5_15
2025-07-12 14:00:00,reverse,117389.47,117667.34,117717.87,-1,1.0,0.0501,-0.000941,SMA_5_15
2025-07-13 01:00:00,reverse,117553.37,117432.01,117417.82,1,1.0,0.0487,-0.002022,SMA_5_15
2025-07-14 15:00:00,reverse,119878.22,121226.59,121387.63,-1,1.0,0.0685,-0.01057,SMA_5_15
2025-07-15 22:00:00,reverse,117827.73,116994.33,116993.56,1,1.0,0.0854,-0.002329,SMA_5_15
2025-07-17 01:00:00,reverse,118149.7,118722.29,118991.48,-1,1.0,0.0883,-0.006263,SMA_5_15
2025-07-17 16:00:00,reverse,118558.6,118470.88,118405.04,1,1.0,0.0848,0.002553,SMA_5_15
2025-07-18 09:00:00,reverse,118875.0,119542.45,119740.63,-1,1.0,0.0876,0.001964,SMA_5_15
2025-07-19 02:00:00,reverse,118201.03,117917.2,117916.89,1,1.0,0.0932,-0.001392,SMA_5_15
2025-07-19 15:00:00,reverse,118058.1,118096.7,118166.57,-1,1.0,0.092,0.003314,SMA_5_15
2025-07-20 03:00:00,reverse,117958.0,117930.42,117895.19,1,1.0,0.0929,0.000106,SMA_5_15
2025-07-20 21:00:00,reverse,117997.87,118124.2,118179.22,-1,1.0,0.0932,-0.00076,SMA_5_15
2025-07-21 05:00:00,reverse,118430.23,118131.12,118040.17,1,1.0,0.0895,-0.000833,SMA_5_15
2025-07-21 15:00:00,reverse,118313.15,118443.82,118512.6,-1,1.0,0.0886,-0.004341,SMA_5_15
2025-07-22 07:00:00,reverse,117983.68,117383.59,117299.17,1,1.0,0.0913,-0.001158,SMA_5_15
2025-07-23 04:00:00,reverse,118996.0,119147.13,119300.4,-1,1.0,0.1,0.003219,SMA_5_15
2025-07-23 21:00:00,reverse,118181.75,118193.44,118170.13,1,1.0,0.1067,-0.002495,SMA_5_15
2025-07-24 06:00:00,reverse,117466.8,118092.54,118308.12,-1,1.0,0.1007,-0.001171,SMA_5_15
2025-07-24 11:00:00,reverse,118600.0,118532.29,118452.35,1,1.0,0.0911,-0.001909,SMA_5_15
2025-07-24 13:00:00,reverse,118227.49,118447.99,118452.9,-1,1.0,0.0879,-0.002564,SMA_5_15
2025-07-24 14:00:00,reverse,119057.12,118558.0,118472.97,1,1.0,0.0809,-0.007017,SMA_5_15
2025-07-24 23:00:00,reverse,118319.99,118558.59,118658.66,-1,1.0,0.0747,0.000338,SMA_5_15
2025-07-25 14:00:00,reverse,114959.99,116026.86,116025.69,1,1.0,0.1033,0.01081,SMA_5_15
